record_id,well_id,x,y,z,time_days,observed_concentration_mg_L,above_detection_limit,detection_limit_mg_L
TR00000,W001,34.0,15.413130025095104,1.6,360.0,3.2832061442614853,True,0.002
TR00001,W001,34.0,15.413130025095104,1.6,540.0,6.775248497221343,True,0.002
TR00002,W001,34.0,15.413130025095104,1.6,720.0,2.3866598071153358,True,0.002
TR00003,W001,34.0,15.413130025095104,1.6,900.0,0.5831568075565623,True,0.002
TR00004,W001,34.0,15.413130025095104,1.6,1080.0,0.13413585360823654,True,0.002
TR00005,W001,34.0,15.413130025095104,1.6,1260.0,0.029597072304776616,True,0.002
TR00006,W001,34.0,15.413130025095104,1.6,1440.0,0.007341653936496351,True,0.002
TR00007,W001,34.0,15.413130025095104,1.6,1620.0,0.0,False,0.002
TR00008,W001,34.0,15.413130025095104,1.6,1800.0,0.0,False,0.002
TR00009,W001,34.0,15.413130025095104,1.6,1980.0,0.0,False,0.002
TR00010,W001,34.0,15.413130025095104,1.6,2160.0,0.0,False,0.002
TR00011,W001,34.0,15.413130025095104,1.6,2340.0,0.0,False,0.002
TR00012,W001,34.0,15.413130025095104,1.6,2520.0,0.0,False,0.002
TR00013,W001,34.0,15.413130025095104,1.6,2700.0,0.001451745808950448,False,0.002
TR00014,W001,34.0,15.413130025095104,1.6,2880.0,0.0008797497414684046,False,0.002
TR00015,W001,34.0,15.413130025095104,1.6,3060.0,0.001470338005362727,False,0.002
TR00016,W001,34.0,15.413130025095104,1.6,3240.0,0.0029404189749121412,True,0.002
TR00017,W001,34.0,15.413130025095104,1.6,3420.0,0.0017196737544604057,False,0.002
TR00018,W001,34.0,15.413130025095104,1.6,3600.0,0.002667127345056084,True,0.002
TR00019,W001,34.0,15.413130025095104,1.6,3780.0,0.0,False,0.002
TR00020,W001,34.0,15.413130025095104,1.6,3960.0,0.00010522516518621403,False,0.002
TR00021,W001,34.0,15.413130025095104,1.6,4140.0,0.0,False,0.002
TR00022,W001,34.0,15.413130025095104,1.6,4320.0,0.0,False,0.002
TR00023,W002,34.0,17.291177374240604,1.6,360.0,3.7356504326201874,True,0.002
TR00024,W002,34.0,17.291177374240604,1.6,540.0,6.228852773271579,True,0.002
TR00025,W002,34.0,17.291177374240604,1.6,720.0,2.3843909227432993,True,0.002
TR00026,W002,34.0,17.291177374240604,1.6,900.0,0.4555255813967466,True,0.002
TR00027,W002,34.0,17.291177374240604,1.6,1080.0,0.13711295378831848,True,0.002
TR00028,W002,34.0,17.291177374240604,1.6,1260.0,0.026172539893490478,True,0.002
TR00029,W002,34.0,17.291177374240604,1.6,1440.0,0.006098261001901821,True,0.002
TR00030,W002,34.0,17.291177374240604,1.6,1620.0,0.0012819341731948066,False,0.002
TR00031,W002,34.0,17.291177374240604,1.6,1800.0,0.0023371676757480368,True,0.002
TR00032,W002,34.0,17.291177374240604,1.6,1980.0,0.0010232037914053086,False,0.002
TR00033,W002,34.0,17.291177374240604,1.6,2160.0,0.0,False,0.002
TR00034,W002,34.0,17.291177374240604,1.6,2340.0,0.0,False,0.002
TR00035,W002,34.0,17.291177374240604,1.6,2520.0,0.0,False,0.002
TR00036,W002,34.0,17.291177374240604,1.6,2700.0,0.0,False,0.002
TR00037,W002,34.0,17.291177374240604,1.6,2880.0,0.0010276232413988361,False,0.002
TR00038,W002,34.0,17.291177374240604,1.6,3060.0,0.0,False,0.002
TR00039,W002,34.0,17.291177374240604,1.6,3240.0,0.0006047388543612587,False,0.002
TR00040,W002,34.0,17.291177374240604,1.6,3420.0,0.0006712621118061861,False,0.002
TR00041,W002,34.0,17.291177374240604,1.6,3600.0,0.0,False,0.002
TR00042,W002,34.0,17.291177374240604,1.6,3780.0,0.001012410430767854,False,0.002
TR00043,W002,34.0,17.291177374240604,1.6,3960.0,0.0,False,0.002
TR00044,W002,34.0,17.291177374240604,1.6,4140.0,0.0,False,0.002
TR00045,W002,34.0,17.291177374240604,1.6,4320.0,0.0011824428578327275,False,0.002
TR00046,W003,34.0,19.491581190940767,3.4,360.0,2.702491618630045,True,0.002
TR00047,W003,34.0,19.491581190940767,3.4,540.0,5.4719452116339085,True,0.002
TR00048,W003,34.0,19.491581190940767,3.4,720.0,2.4520623076534713,True,0.002
TR00049,W003,34.0,19.491581190940767,3.4,900.0,0.5537262291091635,True,0.002
TR00050,W003,34.0,19.491581190940767,3.4,1080.0,0.12334024275966893,True,0.002
TR00051,W003,34.0,19.491581190940767,3.4,1260.0,0.025664374745387037,True,0.002
TR00052,W003,34.0,19.491581190940767,3.4,1440.0,0.006253713029144469,True,0.002
TR00053,W003,34.0,19.491581190940767,3.4,1620.0,0.001849721524799054,False,0.002
TR00054,W003,34.0,19.491581190940767,3.4,1800.0,0.0,False,0.002
TR00055,W003,34.0,19.491581190940767,3.4,1980.0,0.0,False,0.002
TR00056,W003,34.0,19.491581190940767,3.4,2160.0,0.0,False,0.002
TR00057,W003,34.0,19.491581190940767,3.4,2340.0,0.0,False,0.002
TR00058,W003,34.0,19.491581190940767,3.4,2520.0,0.0019054014908871533,False,0.002
TR00059,W003,34.0,19.491581190940767,3.4,2700.0,0.001319277554497019,False,0.002
TR00060,W003,34.0,19.491581190940767,3.4,2880.0,0.0031392668869892532,True,0.002
TR00061,W003,34.0,19.491581190940767,3.4,3060.0,0.0,False,0.002
TR00062,W003,34.0,19.491581190940767,3.4,3240.0,0.001066191455786512,False,0.002
TR00063,W003,34.0,19.491581190940767,3.4,3420.0,0.0009227442107957936,False,0.002
TR00064,W003,34.0,19.491581190940767,3.4,3600.0,0.002188102436565227,True,0.002
TR00065,W003,34.0,19.491581190940767,3.4,3780.0,0.0,False,0.002
TR00066,W003,34.0,19.491581190940767,3.4,3960.0,0.0012045575540397667,False,0.002
TR00067,W003,34.0,19.491581190940767,3.4,4140.0,0.0,False,0.002
TR00068,W003,34.0,19.491581190940767,3.4,4320.0,0.0002854472698914709,False,0.002
TR00069,W004,44.0,15.780606549649903,2.5,360.0,0.3697658666414321,True,0.002
TR00070,W004,44.0,15.780606549649903,2.5,540.0,13.778171275252783,True,0.002
TR00071,W004,44.0,15.780606549649903,2.5,720.0,8.85801779891921,True,0.002
TR00072,W004,44.0,15.780606549649903,2.5,900.0,2.3384934449442865,True,0.002
TR00073,W004,44.0,15.780606549649903,2.5,1080.0,0.7779707685105248,True,0.002
